epoch,train_64,test_64,train_32,test_32,train_128,test_128,train_256,test_256,train_512,test_512,train_768,test_768
12.4,93.37,91.47,90.87,89.41,94.93,92.38,96.8,93.12,98.4,93.75,99.11,93.4
12.6,93.39,91.47,91.01,89.49,94.87,92.5,96.79,93.22,98.46,93.67,99.06,93.46
12.8,93.32,91.48,90.96,89.41,94.99,92.45,96.68,93.3,98.44,93.75,98.79,93.14
12,93.16,91.4,90.72,89.24,94.96,92.44,96.64,93.08,98.37,93.74,99.06,93.4
13.2,93.31,91.48,90.86,89.46,94.98,92.57,96.7,93.28,98.29,93.67,99.09,93.15
13.4,93.2,91.35,90.94,89.43,94.99,92.4,96.7,93.08,98.24,93.73,99.02,93.21
13.6,93.28,91.44,90.81,89.45,94.91,92.42,96.69,93.17,98.24,93.66,99.17,93.34
13.8,93.35,91.51,90.87,89.43,95.06,92.45,96.53,93.1,98.27,93.71,99.24,93.46
14,93.2,91.37,90.82,89.33,95.01,92.43,96.63,93.05,98.3,93.74,99.11,93.29
14.2,93.42,91.54,90.73,89.49,95.01,92.53,96.54,93.14,98.24,93.62,99.18,93.41
14.4,93.23,91.42,90.93,89.49,94.91,92.37,96.46,92.93,98.2,93.64,99.19,93.38
14.6,93.31,91.55,90.84,89.45,94.61,92.27,96.5,93.13,98.25,93.59,99.2,93.3
14.8,93.33,91.51,90.92,89.59,94.88,92.48,96.45,92.98,98.23,93.64,99.16,93.29
15,93.28,91.41,90.72,89.29,94.75,92.25,96.35,92.92,98.24,93.66,99.23,93.38
15.2,93.38,91.51,90.8,89.48,94.99,92.52,96.46,93.06,98.07,93.58,99.28,93.45
15.4,93.32,91.44,90.5,89.07,94.79,92.31,96.44,93.02,,,99.24,93.49
15.6,93.18,91.38,90.82,89.38,94.34,92.06,96.49,93,,,99.28,93.52
15.8,93.33,91.4,90.85,89.32,94.88,92.4,96.39,93.05,,,99.34,93.38
16,93.29,91.37,90.57,89.07,94.7,92.3,96.42,92.99,,,99.37,93.55
16.2,93.21,91.44,90.91,89.48,94.91,92.49,96.4,93.09,,,99.37,93.52
16.4,93.31,91.45,90.79,89.29,94.79,92.23,96.4,92.89,,,99.35,93.57
16.6,93.34,91.49,91.01,89.5,94.37,92.07,96.3,93,,,99.4,93.59
16.8,93.4,91.5,90.86,89.42,94.87,92.35,96.09,92.88,,,99.39,93.66
17,93.12,91.37,90.63,89.21,94.76,92.37,96.03,92.81,,,99.36,93.51
17.2,93.22,91.39,90.81,89.45,94.84,92.39,96.01,92.87,,,99.46,93.72
17.4,93.32,91.5,90.79,89.26,94.69,92.12,96.12,92.78,,,99.46,93.74
17.6,93.35,91.44,90.64,89.05,94.62,92.25,96.05,92.77,,,99.43,93.67
17.8,93.44,91.56,90.84,89.4,94.85,92.36,96.1,92.79,,,99.43,93.74
18,93.06,91.26,90.85,89.36,94.76,92.39,96.05,92.8,,,99.38,93.57
18.2,93.19,91.44,90.79,89.39,94.86,92.47,95.9,92.75,,,99.4,93.51
18.4,93.18,91.38,90.87,89.48,94.84,92.32,95.87,92.65,,,99.4,93.65
18.6,93.3,91.42,90.86,89.39,94.74,92.42,95.93,92.77,,,99.48,93.71
18.8,93.23,91.31,90.87,89.47,94.87,92.44,95.84,92.65,,,99.52,93.67
19,93.17,91.44,90.58,89.04,94.88,92.45,95.72,92.6,,,99.48,93.66
19.2,93.26,91.47,90.81,89.62,94.84,92.4,95.9,92.76,,,99.33,93.49
19.4,93.32,91.34,90.34,89.06,94.87,92.4,95.75,92.62,,,99.36,93.61
19.6,93.24,91.36,90.68,89.2,94.6,92.31,95.8,92.68,,,99.37,93.76
19.8,93.37,91.42,90.6,89.2,94.7,92.35,95.73,92.72,,,99.43,93.72
20,93.19,91.27,90.31,88.93,94.74,92.25,95.75,92.63,,,99.45,93.68
20.2,93.38,91.57,90.67,89.44,94.74,92.36,95.76,92.7,,,,
20.4,93.28,91.35,90.3,88.93,94.71,92.32,95.67,92.71,,,,
20.6,93.22,91.31,90.95,89.34,94.6,92.26,95.74,92.72,,,,
20.8,93.27,91.41,90.63,89.23,94.78,92.38,95.62,92.66,,,,
21,93.23,91.31,90.53,89.06,94.7,92.21,95.63,92.6,,,,
21.2,93.26,91.32,90.84,89.46,94.64,92.27,95.49,92.55,,,,
21.4,93.21,91.33,90.53,89.11,94.73,92.23,95.43,92.53,,,,
21.6,93.17,91.27,90.72,89.17,94.54,92.28,95.51,92.62,,,,
21.8,93.28,91.38,90.9,89.44,94.81,92.41,95.42,92.49,,,,
22,93.1,91.27,90.58,89.17,94.65,92.29,95.47,92.46,,,,
22.2,93.28,91.44,90.65,89.29,94.65,92.27,95.34,92.52,,,,
